,Ano,Mês,Município,Produto,Unidade de Medida,Preço médio
126,2018,12,ARARANGUA,GNV,R$/m3,2.949
127,2018,12,ARARANGUA,ÓLEO DIESEL,R$/l,3.149
128,2018,12,ARARANGUA,ÓLEO DIESEL S10,R$/l,3.273
129,2018,12,ARARAQUARA,ETANOL HIDRATADO,R$/l,2.598
130,2018,12,ARARAQUARA,GASOLINA COMUM,R$/l,4.326
131,2018,12,ARARAQUARA,GLP,R$/13Kg,77.833
132,2018,12,ARARAQUARA,ÓLEO DIESEL,R$/l,3.302
133,2018,12,ARARAQUARA,ÓLEO DIESEL S10,R$/l,3.484
134,2018,12,ARARAS,ETANOL HIDRATADO,R$/l,2.848
135,2018,12,ARARAS,GASOLINA COMUM,R$/l,4.204
136,2018,12,ARARAS,GLP,R$/13Kg,70.314
137,2018,12,ARARAS,ÓLEO DIESEL,R$/l,3.195
138,2018,12,ARARAS,ÓLEO DIESEL S10,R$/l,3.349
139,2018,12,ARARIPINA,ETANOL HIDRATADO,R$/l,3.444
140,2018,12,ARARIPINA,GASOLINA COMUM,R$/l,4.646
141,2018,12,ARARIPINA,GLP,R$/13Kg,71.667
142,2018,12,ARARIPINA,ÓLEO DIESEL,R$/l,3.349
143,2018,12,ARARIPINA,ÓLEO DIESEL S10,R$/l,3.57
144,2018,12,ARARUAMA,ETANOL HIDRATADO,R$/l,3.228
145,2018,12,ARARUAMA,GASOLINA COMUM,R$/l,4.691
146,2018,12,ARARUAMA,GLP,R$/13Kg,56.667
147,2018,12,ARARUAMA,GNV,R$/m3,3.776
148,2018,12,ARARUAMA,ÓLEO DIESEL,R$/l,3.665
149,2018,12,ARARUAMA,ÓLEO DIESEL S10,R$/l,3.631
150,2018,12,ARAUCARIA,ETANOL HIDRATADO,R$/l,2.886
151,2018,12,ARAUCARIA,GASOLINA COMUM,R$/l,4.05
152,2018,12,ARAUCARIA,GLP,R$/13Kg,65.231
153,2018,12,ARAUCARIA,ÓLEO DIESEL,R$/l,3.045
154,2018,12,ARAUCARIA,ÓLEO DIESEL S10,R$/l,3.121
155,2018,12,ARAXA,ETANOL HIDRATADO,R$/l,3.151
156,2018,12,ARAXA,GASOLINA COMUM,R$/l,4.806
157,2018,12,ARAXA,GLP,R$/13Kg,67.75
158,2018,12,ARAXA,ÓLEO DIESEL,R$/l,3.416
159,2018,12,ARAXA,ÓLEO DIESEL S10,R$/l,3.497
160,2018,12,ARCOVERDE,ETANOL HIDRATADO,R$/l,3.292
161,2018,12,ARCOVERDE,GASOLINA COMUM,R$/l,4.348
162,2018,12,ARCOVERDE,GLP,R$/13Kg,70.0
163,2018,12,ARCOVERDE,ÓLEO DIESEL S10,R$/l,3.416
164,2018,12,ARIQUEMES,ETANOL HIDRATADO,R$/l,4.212
165,2018,12,ARIQUEMES,GASOLINA COMUM,R$/l,4.522
166,2018,12,ARIQUEMES,GLP,R$/13Kg,76.358
167,2018,12,ARIQUEMES,ÓLEO DIESEL,R$/l,3.73
168,2018,12,ARIQUEMES,ÓLEO DIESEL S10,R$/l,3.822
169,2018,12,ASSIS,ETANOL HIDRATADO,R$/l,2.593
170,2018,12,ASSIS,GASOLINA COMUM,R$/l,4.276
171,2018,12,ASSIS,GLP,R$/13Kg,66.571
172,2018,12,ASSIS,ÓLEO DIESEL,R$/l,3.4
173,2018,12,ASSIS,ÓLEO DIESEL S10,R$/l,3.485
174,2018,12,ASSIS CHATEAUBRIAND,ETANOL HIDRATADO,R$/l,2.882
175,2018,12,ASSIS CHATEAUBRIAND,GASOLINA COMUM,R$/l,4.236
176,2018,12,ASSIS CHATEAUBRIAND,GLP,R$/13Kg,85.0
177,2018,12,ASSIS CHATEAUBRIAND,ÓLEO DIESEL,R$/l,3.162
178,2018,12,ASSIS CHATEAUBRIAND,ÓLEO DIESEL S10,R$/l,3.258
179,2018,12,ATIBAIA,ETANOL HIDRATADO,R$/l,2.811
180,2018,12,ATIBAIA,GASOLINA COMUM,R$/l,4.238
181,2018,12,ATIBAIA,GLP,R$/13Kg,69.2
182,2018,12,ATIBAIA,ÓLEO DIESEL,R$/l,3.271
183,2018,12,ATIBAIA,ÓLEO DIESEL S10,R$/l,3.449
184,2018,12,AVARE,ETANOL HIDRATADO,R$/l,2.569
185,2018,12,AVARE,GASOLINA COMUM,R$/l,4.018
186,2018,12,AVARE,GLP,R$/13Kg,64.375
187,2018,12,AVARE,ÓLEO DIESEL,R$/l,3.497
188,2018,12,AVARE,ÓLEO DIESEL S10,R$/l,3.569
189,2018,12,BACABAL,GASOLINA COMUM,R$/l,4.415
190,2018,12,BACABAL,GLP,R$/13Kg,76.0
191,2018,12,BACABAL,ÓLEO DIESEL,R$/l,3.5
192,2018,12,BACABAL,ÓLEO DIESEL S10,R$/l,3.465
193,2018,12,BAGE,ETANOL HIDRATADO,R$/l,4.601
194,2018,12,BAGE,GASOLINA COMUM,R$/l,4.992
195,2018,12,BAGE,GLP,R$/13Kg,73.304
196,2018,12,BAGE,ÓLEO DIESEL,R$/l,3.716
197,2018,12,BAGE,ÓLEO DIESEL S10,R$/l,3.815
198,2018,12,BALNEARIO CAMBORIU,ETANOL HIDRATADO,R$/l,3.509
199,2018,12,BALNEARIO CAMBORIU,GASOLINA COMUM,R$/l,4.116
200,2018,12,BALNEARIO CAMBORIU,GLP,R$/13Kg,75.0
201,2018,12,BALNEARIO CAMBORIU,ÓLEO DIESEL,R$/l,3.299
202,2018,12,BALNEARIO CAMBORIU,ÓLEO DIESEL S10,R$/l,3.585
203,2018,12,BALSAS,ETANOL HIDRATADO,R$/l,3.868
204,2018,12,BALSAS,GASOLINA COMUM,R$/l,4.479
205,2018,12,BALSAS,GLP,R$/13Kg,85.0
206,2018,12,BALSAS,ÓLEO DIESEL,R$/l,3.667
207,2018,12,BALSAS,ÓLEO DIESEL S10,R$/l,3.746
208,2018,12,BARBACENA,ETANOL HIDRATADO,R$/l,3.094
209,2018,12,BARBACENA,GASOLINA COMUM,R$/l,4.643
210,2018,12,BARBACENA,GLP,R$/13Kg,68.167
211,2018,12,BARBACENA,GNV,R$/m3,3.53
212,2018,12,BARBACENA,ÓLEO DIESEL,R$/l,3.489
213,2018,12,BARBACENA,ÓLEO DIESEL S10,R$/l,3.472
